CFSR,Station
0.000930495,0
2.729177077,0.7
0.858852149,0.1
0.410304912,0
0.171583345,3.6
2.670799831,1.2
0,0
0.002791485,0
0.04704584,0
0.087826793,0
0.158080861,0
0.631988937,0
0,0.3
0.020741047,0.4
0.055224923,0.7
0.965339061,0
0.598577902,0.2
0.091458787,0
6.171094583,0
0.279241588,0
0.217420664,0
5.465403006,15.4
0,0
0,5
0.017679409,1
0.189169798,0
0,1.2
0.127198792,4
6.575571716,2.9
0,6
0,1.2
6.300645592,4.8
2.347429017,6.7
1.169910327,0
1.127619871,2.2
0.542741696,1
0,0
0.42438012,0
0.013554017,0
0.000930495,0
0.054367339,0
0.742107839,0
0.009515068,3.3
0.033963082,1.2
0.000930495,1.7
0.918572968,1.2
1.511887297,0
0.230792838,0
6.372292254,9.3
0.938925821,0
0,0
1.218936747,22.3
0.01716914,0
0.045022765,7.4
0.117093542,0
0.567322856,0
0.000930495,2
2.15960473,2.4
1.508147078,0
0,0.7
0.573464539,6.8
4.839285455,1.2
0.529051497,0.3
1.163584602,0
2.788299837,15.9
0.781117979,0
0.143575374,0
0.042151442,0
0.001981054,0
0.015818425,0
0,20.4
0.917140757,0
0.142305687,0
1.431827842,2.1
0,0.8
0.892930477,10.4
0.653952038,0
0.18126648,2.1
15.61051222,9.3
1.746537928,1.1
0.885803126,1.1
0.845243296,17.6
0,5.9
0.009244921,2.8
1.693074653,0
0.851645218,0
0,1.9
0.626127778,0.3
1.432357651,1.1
0,9.7
3.893377355,16
0,0.1
0.06192446,0
9.948829634,0
0.500316531,8.4
0.603124865,0
2.083261596,0
0.114264818,0
0.160045167,7.4
0,0
0.009304958,5.4
1.618994889,0
0.046884927,0.4
2.345310637,3.6
0.00372198,0
0.764428256,7.1
0.395586352,0
0.072638828,7.2
3.751529999,3
0.763008952,0
0.177729328,5.4
0.991348625,7.8
0,4.2
0,1
2.214021216,20.3
0.153103728,0
0,0.9
0,0.9
1.699131778,0.1
0,17.8
6.155407884,4.3
0,0
0.01646977,0
